CPU001,CPU 1 ubuntu2004,User%,Sys%,Wait%,Idle%,Steal%
CPU001,T0176,0.0,100.0,0.0,0.0,0.0
CPU001,T0177,1.0,99.0,0.0,0.0,0.0
CPU001,T0178,0.0,100.0,0.0,0.0,0.0
CPU001,T0179,0.0,100.0,0.0,0.0,0.0
CPU001,T0180,0.0,100.0,0.0,0.0,0.0
CPU001,T0181,0.0,100.0,0.0,0.0,0.0
CPU001,T0182,0.0,100.0,0.0,0.0,0.0
CPU001,T0183,0.0,100.0,0.0,0.0,0.0
CPU001,T0184,0.0,100.0,0.0,0.0,0.0
CPU001,T0185,1.0,99.0,0.0,0.0,0.0
CPU001,T0186,1.0,99.0,0.0,0.0,0.0
CPU001,T0187,0.0,100.0,0.0,0.0,0.0
CPU001,T0188,0.0,100.0,0.0,0.0,0.0
CPU001,T0189,0.0,100.0,0.0,0.0,0.0
CPU001,T0190,0.0,100.0,0.0,0.0,0.0
CPU001,T0191,0.0,100.0,0.0,0.0,0.0
CPU001,T0192,0.0,100.0,0.0,0.0,0.0
CPU001,T0193,0.0,100.0,0.0,0.0,0.0
CPU001,T0194,0.0,100.0,0.0,0.0,0.0
CPU001,T0195,0.0,100.0,0.0,0.0,0.0
CPU001,T0196,0.0,100.0,0.0,0.0,0.0
CPU001,T0197,0.0,100.0,0.0,0.0,0.0
CPU001,T0198,0.0,100.0,0.0,0.0,0.0
CPU001,T0199,0.0,100.0,0.0,0.0,0.0
CPU001,T0200,0.0,100.0,0.0,0.0,0.0
CPU001,T0201,0.0,100.0,0.0,0.0,0.0
CPU001,T0202,0.0,100.0,0.0,0.0,0.0
CPU001,T0203,0.0,100.0,0.0,0.0,0.0
CPU001,T0204,1.0,99.0,0.0,0.0,0.0
CPU001,T0205,0.0,100.0,0.0,0.0,0.0
CPU001,T0206,0.0,100.0,0.0,0.0,0.0
CPU001,T0207,0.0,100.0,0.0,0.0,0.0
CPU001,T0208,0.0,100.0,0.0,0.0,0.0
CPU001,T0209,0.0,100.0,0.0,0.0,0.0
CPU001,T0210,0.0,100.0,0.0,0.0,0.0
CPU001,T0211,0.0,100.0,0.0,0.0,0.0
CPU001,T0212,0.0,100.0,0.0,0.0,0.0
CPU001,T0213,0.0,100.0,0.0,0.0,0.0
CPU001,T0214,0.0,100.0,0.0,0.0,0.0
CPU001,T0215,0.0,100.0,0.0,0.0,0.0
CPU001,T0216,0.0,100.0,0.0,0.0,0.0
CPU001,T0217,0.0,100.0,0.0,0.0,0.0
CPU001,T0218,0.0,100.0,0.0,0.0,0.0
CPU001,T0219,0.0,100.0,0.0,0.0,0.0
CPU001,T0220,0.0,100.0,0.0,0.0,0.0
CPU001,T0221,0.0,100.0,0.0,0.0,0.0
CPU001,T0222,0.0,100.0,0.0,0.0,0.0
CPU001,T0223,0.0,100.0,0.0,0.0,0.0
CPU001,T0224,0.0,100.0,0.0,0.0,0.0
CPU001,T0225,0.0,100.0,0.0,0.0,0.0
CPU001,T0226,0.0,100.0,0.0,0.0,0.0
CPU001,T0227,0.0,100.0,0.0,0.0,0.0
CPU001,T0228,0.0,100.0,0.0,0.0,0.0
CPU001,T0229,0.0,100.0,0.0,0.0,0.0
CPU001,T0230,0.0,100.0,0.0,0.0,0.0
CPU001,T0231,1.0,99.0,0.0,0.0,0.0
CPU001,T0232,1.0,99.0,0.0,0.0,0.0
CPU001,T0233,0.0,100.0,0.0,0.0,0.0
CPU001,T0234,0.0,100.0,0.0,0.0,0.0
CPU001,T0235,0.0,100.0,0.0,0.0,0.0
CPU001,T0236,0.0,100.0,0.0,0.0,0.0
CPU001,T0237,0.0,100.0,0.0,0.0,0.0
CPU001,T0238,0.0,100.0,0.0,0.0,0.0
CPU001,T0239,0.0,100.0,0.0,0.0,0.0
CPU001,T0240,0.0,100.0,0.0,0.0,0.0
CPU001,T0241,0.0,100.0,0.0,0.0,0.0
CPU001,T0242,0.0,100.0,0.0,0.0,0.0
CPU001,T0243,0.0,100.0,0.0,0.0,0.0
CPU001,T0244,0.0,100.0,0.0,0.0,0.0
CPU001,T0245,0.0,100.0,0.0,0.0,0.0
CPU001,T0246,0.0,100.0,0.0,0.0,0.0
CPU001,T0247,0.0,100.0,0.0,0.0,0.0
CPU001,T0248,0.0,100.0,0.0,0.0,0.0
CPU001,T0249,1.0,99.0,0.0,0.0,0.0
CPU001,T0250,0.0,100.0,0.0,0.0,0.0
CPU001,T0251,0.0,100.0,0.0,0.0,0.0
CPU001,T0252,0.0,100.0,0.0,0.0,0.0
CPU001,T0253,0.0,100.0,0.0,0.0,0.0
CPU001,T0254,0.0,100.0,0.0,0.0,0.0
CPU001,T0255,0.0,100.0,0.0,0.0,0.0
CPU001,T0256,0.0,100.0,0.0,0.0,0.0
CPU001,T0257,0.0,100.0,0.0,0.0,0.0
CPU001,T0258,0.0,100.0,0.0,0.0,0.0
CPU001,T0259,0.0,100.0,0.0,0.0,0.0
CPU001,T0260,0.0,100.0,0.0,0.0,0.0
CPU001,T0261,0.0,100.0,0.0,0.0,0.0
CPU001,T0262,1.0,99.0,0.0,0.0,0.0
CPU001,T0263,0.0,100.0,0.0,0.0,0.0
CPU001,T0264,0.0,100.0,0.0,0.0,0.0
CPU001,T0265,0.0,100.0,0.0,0.0,0.0
CPU001,T0266,0.0,100.0,0.0,0.0,0.0
CPU001,T0267,2.0,98.0,0.0,0.0,0.0
CPU001,T0268,0.0,100.0,0.0,0.0,0.0
CPU001,T0269,0.0,100.0,0.0,0.0,0.0
CPU001,T0270,0.0,100.0,0.0,0.0,0.0
CPU001,T0271,0.0,100.0,0.0,0.0,0.0
CPU001,T0272,0.0,100.0,0.0,0.0,0.0
CPU001,T0273,0.0,100.0,0.0,0.0,0.0
CPU001,T0274,0.0,100.0,0.0,0.0,0.0
CPU001,T0275,0.0,100.0,0.0,0.0,0.0
CPU001,T0276,0.0,100.0,0.0,0.0,0.0
CPU001,T0277,0.0,100.0,0.0,0.0,0.0
CPU001,T0278,3.0,97.0,0.0,0.0,0.0
CPU001,T0279,0.0,100.0,0.0,0.0,0.0
CPU001,T0280,0.0,100.0,0.0,0.0,0.0
