Linux 5.10.198 (ubuntu2004) 	04/16/2026 	_aarch64_	(4 CPU)

06:33:38 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:56 PM      eth5  46302.00    723.00  67553.89     45.19      0.00      0.00      0.00     55.34
06:33:56 PM     wlan0      5.00      0.00      1.09      0.00      0.00      0.00      0.00      0.00

06:33:56 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:57 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:57 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:57 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:57 PM      eth0  22176.00      0.00  32527.69      0.00      0.00      0.00      0.00     26.65
06:33:57 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:57 PM      eth2  59851.00   1797.00  82100.41    112.31      0.00      0.00      0.00     67.26
06:33:57 PM      eth3  45918.00    714.00  67531.75     44.62      0.00      0.00      0.00     55.32
06:33:57 PM      eth4  68702.00      0.00 101040.25      0.00      0.00      0.00      0.00     82.77
06:33:57 PM      eth5  45817.00    713.00  66846.29     44.56      0.00      0.00      0.00     54.76
06:33:57 PM     wlan0      2.00      0.00      0.09      0.00      0.00      0.00      0.00      0.00

06:33:57 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:58 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:58 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:58 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:58 PM      eth0  22113.00      0.00  32435.28      0.00      0.00      0.00      0.00     26.57
06:33:58 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:58 PM      eth2  61196.00   1801.00  83946.18    112.56      0.00      0.00      0.00     68.77
06:33:58 PM      eth3  46430.00    675.00  68284.75     42.19      0.00      0.00      0.00     55.94
06:33:58 PM      eth4  68432.00      0.00 100643.16      0.00      0.00      0.00      0.00     82.45
06:33:58 PM      eth5  46423.00    719.00  67730.43     44.94      0.00      0.00      0.00     55.48
06:33:58 PM     wlan0      4.00      0.00      0.18      0.00      0.00      0.00      0.00      0.00

06:33:58 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:33:59 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:59 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:59 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:59 PM      eth0  22743.00      0.00  33359.36      0.00      0.00      0.00      0.00     27.33
06:33:59 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:33:59 PM      eth2  58286.00   1714.00  79953.74    107.12      0.00      0.00      0.00     65.50
06:33:59 PM      eth3  46527.00    676.00  68427.40     42.25      0.00      0.00      0.00     56.06
06:33:59 PM      eth4  68203.00      0.00 100306.37      0.00      0.00      0.00      0.00     82.17
06:33:59 PM      eth5  46595.00    726.00  67981.38     45.38      0.00      0.00      0.00     55.69
06:33:59 PM     wlan0      3.00      0.00      0.10      0.00      0.00      0.00      0.00      0.00

06:33:59 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:34:00 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:00 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:00 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:00 PM      eth0  22365.00      0.00  32804.91      0.00      0.00      0.00      0.00     26.87
06:34:00 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:00 PM      eth2  60091.00   1806.00  82429.05    112.87      0.00      0.00      0.00     67.53
06:34:00 PM      eth3  47275.00    683.00  69527.49     42.69      0.00      0.00      0.00     56.96
06:34:00 PM      eth4  68475.00      0.00 100706.40      0.00      0.00      0.00      0.00     82.50
06:34:00 PM      eth5  47380.00    725.00  69126.68     45.31      0.00      0.00      0.00     56.63
06:34:00 PM     wlan0      2.00      0.00      0.27      0.00      0.00      0.00      0.00      0.00

06:34:00 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:34:01 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:01 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:01 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:01 PM      eth0  21831.68      0.00  32022.64      0.00      0.00      0.00      0.00     26.23
06:34:01 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:01 PM      eth2  58784.16   1784.16  80637.08    111.51      0.00      0.00      0.00     66.06
06:34:01 PM      eth3  45522.77    705.94  66950.48     44.12      0.00      0.00      0.00     54.85
06:34:01 PM      eth4  67935.64      0.00  99913.16      0.00      0.00      0.00      0.00     81.85
06:34:01 PM      eth5  45525.74    707.92  66421.35     44.25      0.00      0.00      0.00     54.41
06:34:01 PM     wlan0      3.96      0.00      0.83      0.00      0.00      0.00      0.00      0.00

06:34:01 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:34:02 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:02 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:02 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:02 PM      eth0  22239.00      0.00  32618.69      0.00      0.00      0.00      0.00     26.72
06:34:02 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:02 PM      eth2  60282.00   1805.00  82690.86    112.81      0.00      0.00      0.00     67.74
06:34:02 PM      eth3  45797.00    713.00  67353.79     44.56      0.00      0.00      0.00     55.18
06:34:02 PM      eth4  68362.00      0.00 100540.21      0.00      0.00      0.00      0.00     82.36
06:34:02 PM      eth5  45782.00    715.00  66795.22     44.69      0.00      0.00      0.00     54.72
06:34:02 PM     wlan0      2.00      0.00      0.07      0.00      0.00      0.00      0.00      0.00

06:34:02 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
06:34:03 PM        lo      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:03 PM    dummy0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:03 PM      can0      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:03 PM      eth0  22381.00      0.00  32828.38      0.00      0.00      0.00      0.00     26.89
06:34:03 PM      eth1      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
06:34:03 PM      eth2  60423.00   1792.00  82885.27    112.00      0.00      0.00      0.00     67.90
06:34:03 PM      eth3  46150.00    675.00  67872.95     42.19      0.00      0.00      0.00     55.60
06:34:03 PM      eth4  68632.00      0.00 100937.30      0.00      0.00      0.00      0.00     82.69
06:34:03 PM      eth5  46123.00    722.00  67292.74     45.12      0.00      0.00      0.00     55.13
06:34:03 PM     wlan0      6.00      0.00      0.25      0.00      0.00      0.00      0.00      0.00

06:34:03 PM     IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s   %ifutil
